n,family,mean_score,mean_identity_variant,mean_score_A2,count,zeta,variant
30,lorentzian_like_2d,-37.42987101193455,0.0546358364708152,-37.45718893016996,8,0.5,blind_self_hit_zscore
30,multi_layer_random,-42.24105131232389,-0.054635836470815366,-42.21373339408848,8,0.5,blind_self_hit_zscore
40,lorentzian_like_2d,-56.76582552371591,-0.04607756775840918,-56.74278673983671,8,0.5,blind_self_hit_zscore
40,multi_layer_random,-61.96877676606412,0.04607756775840913,-61.991815549943325,8,0.5,blind_self_hit_zscore
30,lorentzian_like_2d,-37.40255309369914,0.0546358364708152,-37.45718893016996,8,1.0,blind_self_hit_zscore
30,multi_layer_random,-42.268369230559294,-0.054635836470815366,-42.21373339408848,8,1.0,blind_self_hit_zscore
40,lorentzian_like_2d,-56.78886430759512,-0.04607756775840918,-56.74278673983671,8,1.0,blind_self_hit_zscore
40,multi_layer_random,-61.94573798218491,0.04607756775840913,-61.991815549943325,8,1.0,blind_self_hit_zscore
30,lorentzian_like_2d,-37.375235175463736,0.0546358364708152,-37.45718893016996,8,1.5,blind_self_hit_zscore
30,multi_layer_random,-42.295687148794705,-0.054635836470815366,-42.21373339408848,8,1.5,blind_self_hit_zscore
40,lorentzian_like_2d,-56.81190309147432,-0.04607756775840918,-56.74278673983671,8,1.5,blind_self_hit_zscore
40,multi_layer_random,-61.92269919830571,0.04607756775840913,-61.991815549943325,8,1.5,blind_self_hit_zscore
30,lorentzian_like_2d,-37.34791725722833,0.0546358364708152,-37.45718893016996,8,2.0,blind_self_hit_zscore
30,multi_layer_random,-42.32300506703011,-0.054635836470815366,-42.21373339408848,8,2.0,blind_self_hit_zscore
40,lorentzian_like_2d,-56.83494187535353,-0.04607756775840918,-56.74278673983671,8,2.0,blind_self_hit_zscore
40,multi_layer_random,-61.899660414426506,0.04607756775840913,-61.991815549943325,8,2.0,blind_self_hit_zscore
30,lorentzian_like_2d,-37.32059933899292,0.0546358364708152,-37.45718893016996,8,2.5,blind_self_hit_zscore
30,multi_layer_random,-42.35032298526552,-0.054635836470815366,-42.21373339408848,8,2.5,blind_self_hit_zscore
40,lorentzian_like_2d,-56.85798065923273,-0.04607756775840918,-56.74278673983671,8,2.5,blind_self_hit_zscore
40,multi_layer_random,-61.8766216305473,0.04607756775840913,-61.991815549943325,8,2.5,blind_self_hit_zscore
30,lorentzian_like_2d,-37.293281420757516,0.0546358364708152,-37.45718893016996,8,3.0,blind_self_hit_zscore
30,multi_layer_random,-42.377640903500925,-0.054635836470815366,-42.21373339408848,8,3.0,blind_self_hit_zscore
40,lorentzian_like_2d,-56.88101944311194,-0.04607756775840918,-56.74278673983671,8,3.0,blind_self_hit_zscore
40,multi_layer_random,-61.8535828466681,0.04607756775840913,-61.991815549943325,8,3.0,blind_self_hit_zscore
30,lorentzian_like_2d,-37.265963502522105,0.0546358364708152,-37.45718893016996,8,3.5,blind_self_hit_zscore
30,multi_layer_random,-42.40495882173634,-0.054635836470815366,-42.21373339408848,8,3.5,blind_self_hit_zscore
40,lorentzian_like_2d,-56.90405822699114,-0.04607756775840918,-56.74278673983671,8,3.5,blind_self_hit_zscore
40,multi_layer_random,-61.830544062788896,0.04607756775840913,-61.991815549943325,8,3.5,blind_self_hit_zscore
30,lorentzian_like_2d,-37.2386455842867,0.0546358364708152,-37.45718893016996,8,4.0,blind_self_hit_zscore
30,multi_layer_random,-42.43227673997174,-0.054635836470815366,-42.21373339408848,8,4.0,blind_self_hit_zscore
40,lorentzian_like_2d,-56.92709701087035,-0.04607756775840918,-56.74278673983671,8,4.0,blind_self_hit_zscore
40,multi_layer_random,-61.80750527890969,0.04607756775840913,-61.991815549943325,8,4.0,blind_self_hit_zscore
30,lorentzian_like_2d,-37.184009747815885,0.0546358364708152,-37.45718893016996,8,5.0,blind_self_hit_zscore
