family,tier,N,seed,aw,cf,aw_over_sqrtN
transitive_percolation,Tier-1,56,49,14,0.3064935064935065,1.8708286933869707
transitive_percolation,Tier-1,56,50,16,0.3168831168831169,2.138089935299395
transitive_percolation,Tier-1,56,51,19,0.2448051948051948,2.538981798168032
random_layered_k4_uniform,Tier-2,20,42,7,0.4105263157894737,1.5652475842498528
random_layered_k4_uniform,Tier-2,20,43,12,0.24736842105263157,2.6832815729997477
random_layered_k4_uniform,Tier-2,20,44,7,0.45263157894736844,1.5652475842498528
random_layered_k4_uniform,Tier-2,20,45,9,0.32105263157894737,2.0124611797498106
random_layered_k4_uniform,Tier-2,20,46,8,0.4,1.7888543819998317
random_layered_k4_uniform,Tier-2,20,47,9,0.2736842105263158,2.0124611797498106
random_layered_k4_uniform,Tier-2,20,48,6,0.41578947368421054,1.3416407864998738
random_layered_k4_uniform,Tier-2,20,49,7,0.37894736842105264,1.5652475842498528
random_layered_k4_uniform,Tier-2,20,50,6,0.46842105263157896,1.3416407864998738
random_layered_k4_uniform,Tier-2,20,51,6,0.47368421052631576,1.3416407864998738
random_layered_k4_uniform,Tier-2,28,42,9,0.4894179894179894,1.7008401285415224
random_layered_k4_uniform,Tier-2,28,43,11,0.47619047619047616,2.0788046015507495
random_layered_k4_uniform,Tier-2,28,44,9,0.455026455026455,1.7008401285415224
random_layered_k4_uniform,Tier-2,28,45,12,0.3544973544973545,2.2677868380553634
random_layered_k4_uniform,Tier-2,28,46,9,0.49206349206349204,1.7008401285415224
random_layered_k4_uniform,Tier-2,28,47,10,0.4656084656084656,1.889822365046136
random_layered_k4_uniform,Tier-2,28,48,9,0.42328042328042326,1.7008401285415224
random_layered_k4_uniform,Tier-2,28,49,9,0.4021164021164021,1.7008401285415224
random_layered_k4_uniform,Tier-2,28,50,8,0.41005291005291006,1.5118578920369088
random_layered_k4_uniform,Tier-2,28,51,10,0.37566137566137564,1.889822365046136
random_layered_k4_uniform,Tier-2,36,42,12,0.4714285714285714,2.0
random_layered_k4_uniform,Tier-2,36,43,14,0.37936507936507935,2.3333333333333335
random_layered_k4_uniform,Tier-2,36,44,11,0.4793650793650794,1.8333333333333333
random_layered_k4_uniform,Tier-2,36,45,12,0.4095238095238095,2.0
random_layered_k4_uniform,Tier-2,36,46,12,0.4523809523809524,2.0
random_layered_k4_uniform,Tier-2,36,47,12,0.4158730158730159,2.0
random_layered_k4_uniform,Tier-2,36,48,12,0.44603174603174606,2.0
random_layered_k4_uniform,Tier-2,36,49,12,0.4777777777777778,2.0
random_layered_k4_uniform,Tier-2,36,50,11,0.4301587301587302,1.8333333333333333
