n,family,sample_id,comparable_fraction,cover_density,interval_empty_fraction,mean_interval_size_ratio,neutral_penalty,geo_width_height,geo_comparability_window,geo_cover_density,geo_interval_profile,geo_interval_shape,geo_layer_smoothness,geo_total
20,lorentzian_like_2d,5,0.531578947368421,0.23157894736842105,0.40625,0.07421875,0.06086875,0.0,0.022976177285318554,0.0009972299168975061,0.0,0.000421224489795919,0.0012500000000000002,0.14545487591158343
20,lorentzian_like_3d,0,0.33157894736842103,0.18947368421052632,0.5714285714285714,0.04523809523809524,0.07519375,0.11321356601688148,0.0,0.0,0.0022959183673469225,0.0,0.01125,0.26040672387049757
20,lorentzian_like_3d,1,0.32105263157894737,0.2631578947368421,0.819672131147541,0.014754098360655738,0.18599375000000004,0.6576078155726617,0.0,0.0039889196675900246,0.3661647137866164,0.0,0.031666666666666676,3.221339292414509
20,lorentzian_like_3d,2,0.21578947368421053,0.1736842105263158,0.8048780487804879,0.013414634146341465,0.06652152777777777,1.206948960812582,0.0,0.0,0.32764122546103513,0.0,0.016249999999999997,4.0846040489303395
20,lorentzian_like_3d,3,0.2894736842105263,0.18421052631578946,0.6363636363636364,0.04090909090909091,0.07659374999999999,0.03324115007177121,0.0,0.0,0.037293388429752015,0.10723741496598642,0.006874999999999999,0.8028863171222347
20,lorentzian_like_3d,4,0.24736842105263157,0.17894736842105263,0.723404255319149,0.023404255319148935,0.07381874999999999,0.31316983010658395,0.0,0.0,0.15144685377999095,0.0,0.010833333333333328,1.4052405957797893
20,lorentzian_like_3d,5,0.3473684210526316,0.22105263157894736,0.65625,0.01875,0.165525,0.8395887053184748,0.0,0.00044321329639889124,0.05825156249999995,0.0,0.04416666666666667,2.0600981963594793
20,transitive_percolation,0,0.06842105263157895,0.05789473684210526,0.8461538461538461,0.007692307692307693,0.30721598761157287,2.1501443993176994,0.000997229916897507,0.0,0.44271065088757383,0.0,0.09250000000000001,6.704825432574652
20,transitive_percolation,1,0.16842105263157894,0.08947368421052632,0.53125,0.0328125,0.09872500000000002,0.22090341150416293,0.0,0.0,0.00020664062499999996,0.0,0.015625000000000003,0.47409002613332585
20,transitive_percolation,2,0.1,0.06315789473684211,0.631578947368421,0.023684210526315787,0.09849375000000002,0.6576078155726617,0.0,0.0,0.03434044321329634,0.0,0.015833333333333335,1.5185845138784717
20,transitive_percolation,3,0.09473684210526316,0.07894736842105263,0.8333333333333334,0.008333333333333333,0.19051651277316095,1.9218120556728056,2.7700831024930774e-05,0.0,0.4054,0.0,0.06624999999999999,6.003290316331761
20,transitive_percolation,4,0.16842105263157894,0.08947368421052632,0.53125,0.040625,0.18185000000000004,0.6216650091125928,0.0,0.0,0.0,0.0,0.04125000000000001,1.3258300182251856
20,transitive_percolation,5,0.08947368421052632,0.06842105263157895,0.7647058823529411,0.014705882352941176,0.2864153566481995,1.389227600401126,0.0001108033240997231,0.0,0.23305224913494788,0.0,0.07166666666666667,4.087714599754923
