family,N,rep,center_layer,n_layers_total,n_nodes,total_relations,bd_ratio,bdg_d2c,bdg_d4,link_frac
Lor2D,48,8,4,11,19,40,0.3375,-1.5263157894736843,-1.105263157894737,0.75
Lor2D,48,8,5,11,13,16,0.234375,-0.6923076923076923,0.15384615384615385,0.8125
Lor2D,48,8,6,11,9,12,0.3333333333333333,-0.5555555555555556,0.2222222222222222,0.75
Lor2D,48,8,7,11,8,10,0.39000000000000007,0.0,3.5,0.7
Lor2D,48,8,8,11,7,8,0.3125,-0.14285714285714285,2.7142857142857144,0.75
Lor2D,48,8,9,11,5,4,0.3125,0.2,2.2,0.75
Lor2D,48,8,10,11,3,1,0.0,0.3333333333333333,0.6666666666666666,1.0
Lor2D,48,9,0,9,13,11,0.0,-0.6923076923076923,0.15384615384615385,1.0
Lor2D,48,9,1,9,20,36,0.462962962962963,-0.4,2.7,0.6666666666666666
Lor2D,48,9,2,9,19,22,0.27892561983471076,-0.2631578947368421,2.473684210526316,0.7727272727272727
Lor2D,48,9,3,9,16,22,0.41942148760330583,0.0,4.0,0.6818181818181818
Lor2D,48,9,4,9,16,35,0.5289795918367346,-1.25,-4.625,0.6571428571428571
Lor2D,48,9,5,9,18,36,0.4243827160493827,-1.4444444444444444,0.2222222222222222,0.7222222222222222
Lor2D,48,9,6,9,16,31,0.37460978147762747,-1.625,-5.3125,0.7419354838709677
Lor2D,48,9,7,9,12,13,0.40236686390532544,0.16666666666666666,3.25,0.6923076923076923
Lor2D,48,9,8,9,6,3,0.0,0.0,0.5,1.0
Lor2D,48,10,0,8,14,11,0.0,-0.5714285714285714,0.21428571428571427,1.0
Lor2D,48,10,1,8,20,33,0.28925619834710753,-1.3,-0.95,0.7878787878787878
Lor2D,48,10,2,8,19,43,0.31909140075716597,-2.0526315789473686,-0.5263157894736842,0.7674418604651163
Lor2D,48,10,3,8,17,34,0.5285467128027681,0.058823529411764705,6.647058823529412,0.6176470588235294
Lor2D,48,10,4,8,16,22,0.3595041322314049,-0.375,1.8125,0.7272727272727273
Lor2D,48,10,5,8,19,35,0.43999999999999995,-0.6842105263157895,1.0,0.6857142857142857
Lor2D,48,10,6,8,17,25,0.19200000000000003,-1.1176470588235294,0.4117647058823529,0.84
Lor2D,48,10,7,8,12,5,0.0,0.16666666666666666,0.5833333333333334,1.0
Lor2D,48,11,0,9,13,10,0.0,-0.5384615384615384,0.23076923076923078,1.0
Lor2D,48,11,1,9,19,33,0.5179063360881543,-0.15789473684210525,2.9473684210526314,0.6363636363636364
Lor2D,48,11,2,9,14,18,0.22222222222222215,-1.0,0.0,0.8333333333333334
Lor2D,48,11,3,9,18,51,0.6136101499423299,-0.4444444444444444,4.277777777777778,0.5882352941176471
Lor2D,48,11,4,9,19,38,0.4113573407202216,-1.0,3.3684210526315788,0.7105263157894737
Lor2D,48,11,5,9,19,24,0.26041666666666674,-0.5789473684210527,1.0526315789473684,0.7916666666666666
Lor2D,48,11,6,9,13,15,0.23999999999999994,-0.38461538461538464,2.1538461538461537,0.8
Lor2D,48,11,7,9,10,13,0.5325443786982248,0.4,4.7,0.6153846153846154
Lor2D,48,11,8,9,7,5,0.0,-0.42857142857142855,0.2857142857142857,1.0
Lor2D,48,12,0,10,10,6,0.0,-0.2,0.4,1.0
Lor2D,48,12,1,10,17,29,0.41736028537455405,-0.4117647058823529,3.1176470588235294,0.6896551724137931
Lor2D,48,12,2,10,19,43,0.449972958355868,-1.4210526315789473,0.21052631578947367,0.6976744186046512
Lor2D,48,12,3,10,21,49,0.5935027072053312,-0.5238095238095238,4.0476190476190474,0.6122448979591837
Lor2D,48,12,4,10,19,37,0.3024105186267348,-1.0,3.789473684210526,0.7567567567567568
