d,N,hubble,rep,R_dS,H2,n_causal_pairs,rho_eff,b1_mean,b1_std,b1_median,s_bdg,b1_mean_scaled,b1_std_scaled,s_bdg_scaled
4,512,0.0,6,0.0,0.0,22711,44.357421875,-2.728515625,44.32231167097595,1.0,-1397.0,-18.172287257947456,295.19265795710885,-9304.211076069098
4,512,0.0,7,0.0,0.0,22074,43.11328125,-0.447265625,42.05726602307494,1.0,-229.0,-2.9367776068705607,276.15097194818975,-1503.630134717727
4,512,0.0,8,0.0,0.0,22757,44.447265625,1.982421875,44.77467113653122,1.0,1015.0,13.21656528443061,298.50728123390775,6766.881425628472
4,512,0.0,9,0.0,0.0,22433,43.814453125,1.005859375,40.70259374465864,1.0,515.0,6.658033343069811,269.4205900316453,3408.9130716517434
4,512,0.0,10,0.0,0.0,22056,43.078125,0.369140625,42.24780949438651,1.0,189.0,2.422814918988222,277.28896849966566,1240.4812385219698
4,512,0.0,11,0.0,0.0,22012,42.9921875,2.865234375,43.39867197105596,1.0,1467.0,18.786891381176545,284.5582698300342,9618.888387162391
4,512,0.0,12,0.0,0.0,22114,43.19140625,2.44921875,41.70953034097421,1.0,1254.0,16.096307038433274,274.11573866040726,8241.309203677836
4,512,0.0,13,0.0,0.0,21579,42.146484375,0.06640625,36.58230612550227,1.0,34.0,0.43111152498904304,237.49351576668303,220.72910079439004
4,512,0.0,14,0.0,0.0,23392,45.6875,2.42578125,43.777071528108735,1.0,1242.0,16.396468990789018,295.9002984371273,8394.992123283977
4,512,0.0,15,0.0,0.0,22763,44.458984375,0.033203125,43.489008029932,1.0,17.0,0.22139037154069638,289.97414085821663,113.35187022883655
4,512,0.25,0,0.75,0.0625,16213,31.666015625,-0.228515625,38.184386730496676,1.0,-117.0,-1.2859160342690301,214.87333811626783,-658.3890095457434
4,512,0.25,1,0.75,0.0625,17924,35.0078125,1.8828125,40.850885679992835,1.0,964.0,11.140112074591277,241.70407027860506,5703.737382190734
4,512,0.25,2,0.75,0.0625,16654,32.52734375,-1.7890625,39.29757314861941,1.0,-916.0,-10.203515119820217,224.1248596928163,-5224.199741347951
4,512,0.25,3,0.75,0.0625,17539,34.255859375,0.03515625,38.98074863362793,1.0,18.0,0.20576427659091076,228.1484954615633,105.35130961454631
4,512,0.25,4,0.75,0.0625,15941,31.134765625,0.646484375,35.23229313893549,1.0,331.0,3.6072881340263283,196.59103590031734,1846.93152462148
4,512,0.25,5,0.75,0.0625,16086,31.41796875,2.3828125,41.31928293290971,1.0,1220.0,13.356077222192992,231.6017452559037,6838.311537762812
4,512,0.25,6,0.75,0.0625,16462,32.15234375,1.251953125,38.66246408336906,1.0,641.0,7.098954403769585,219.22791211948626,3634.6646547300275
4,512,0.25,7,0.75,0.0625,17291,33.771484375,1.240234375,44.06217755138832,1.0,635.0,7.207403548117449,256.0595813365173,3690.190616636134
