family,N,rep,log_H,pi_geo,sigma_hist,xi_dim,pi_cg,d_eff,n_layers,comp_frac,log_H_cg,pi_geo_cg,sigma_hist_cg,xi_dim_cg,pi_cg_cg,d_eff_cg
KR_like,20,5,26.931682656494353,6.701789092901166,0.22499999999999998,5.7599712000359995,0.07611750404897409,2.6054,3,0.4,15.00474363933686,2.141926347004058,0.3214285714285714,0.0,0.12232749029116784,2.4339714285714287
KR_like,20,6,26.62614612673678,6.222840249024923,0.22499999999999998,7.204953939094172,0.12950919277650744,2.3211894736842105,3,0.4473684210526316,15.029004343560292,4.614024122044193,0.3214285714285714,7.307780626530383,0.11856208646159,2.302103296703297
KR_like,20,7,26.963545609741047,10.340177861668161,0.22499999999999998,4.7477854870166105,0.12422015064873637,2.826452631578947,3,0.3631578947368421,15.220023111679296,3.546101567739146,0.3214285714285714,0.0,0.14627904631661695,2.5658395604395605
Lor2D,28,0,35.02739385462799,0.894929625864419,0.375,2.074463718820861,0.08636713765979635,1.7673047619047622,7,0.5396825396825397,21.70252371724846,0.28495903480791485,0.44999999999999996,0.9935658390934271,0.14800678569614972,1.9422421052631578
Lor2D,28,1,32.190614027571094,0.32453476421065763,0.42857142857142855,1.1140189974948065,0.07770357693894096,2.021273015873016,8,0.4973544973544973,22.338990604626705,1.1791501657852779,0.44999999999999996,2.2113795400922593,0.09263168951399287,2.3211894736842105
Lor2D,28,2,32.90273103370051,0.5815218267692587,0.42857142857142855,1.0690807901828643,0.08290079027513937,2.0054,8,0.5,21.219481017902876,0.17568790911665147,0.44999999999999996,1.0947238443028628,0.0816539864606003,2.0369789473684214
Lor2D,28,3,36.38908467109813,1.1865858264199762,0.375,1.1418081663812731,0.06299492245837122,2.3704793650793654,7,0.43915343915343913,22.05588772996449,1.4171885389713113,0.44999999999999996,1.168559556786703,0.09860803004972472,2.3527684210526316
Lor2D,28,4,35.48937370807119,0.4466944790514571,0.375,2.0737598238383184,0.07649632072310578,2.1165111111111115,7,0.48148148148148145,21.015195068684985,0.8517351146031572,0.5249999999999999,2.260717308939814,0.06298722478684009,2.2580315789473686
Lor2D,28,5,36.42468826716946,0.42243749933150093,0.3214285714285714,1.576238826095465,0.08548923467465619,2.100638095238095,6,0.48412698412698413,22.49497048741069,0.4964100124561399,0.375,0.6061723858518477,0.13369445936113333,1.8159263157894738
Lor2D,28,6,35.01885144225244,0.39209257397099423,0.42857142857142855,0.9940111135593712,0.07717665229692378,1.9260349206349205,8,0.5132275132275133,21.532783053348528,1.2879701769425556,0.44999999999999996,0.7307486008253714,0.10927849273653191,1.6580315789473687
Lor2D,28,7,35.478523412633834,0.4103457654634479,0.375,1.1459135838060843,0.06873751465374302,1.846669841269841,7,0.5264550264550265,22.660397282838986,2.15951408776127,0.375,4.577954860893142,0.10369208670707493,1.6264526315789476
Lor3D,28,0,43.09869657750634,4.449650059831251,0.26785714285714285,3.021302205747141,0.08731762635966837,2.6244476190476194,5,0.3968253968253968,26.66273881144049,5.553846743071979,0.30000000000000004,0.8007202216066478,0.11542142063709578,2.7632947368421052
Lor3D,28,1,46.8019976537174,20.57907916397603,0.21428571428571427,0.43196775006298793,0.08012499494113517,3.513336507936508,4,0.24867724867724866,30.33576104752123,28.636450947406743,0.30000000000000004,0.0,0.10078172146766622,3.8369789473684213
Lor3D,28,2,48.36413052569634,25.28647285822028,0.1607142857142857,2.040799183709469,0.07579202018838786,3.5768285714285715,3,0.23809523809523808,31.781422401612545,25.62841623434136,0.22499999999999998,0.0,0.11687512169917226,3.552768421052632
Lor3D,28,3,50.553933779419815,31.33874886037728,0.1607142857142857,0.0,0.05340261985428102,3.767304761904762,3,0.20634920634920634,31.215411344401243,26.070827454502194,0.22499999999999998,0.0,0.10673645981506724,3.6159263157894737
Lor3D,28,4,46.66411972426803,15.78785853438264,0.21428571428571427,0.06444444444444425,0.09680189304175202,3.3387333333333333,4,0.2777777777777778,30.47442031415721,25.596871256694747,0.30000000000000004,0.0,0.10240149764832858,3.7106631578947367
Lor3D,28,5,47.08184344660441,17.655837121542437,0.1607142857142857,3.4489573061584475,0.06279450653915535,3.148257142857143,3,0.30952380952380953,28.849108692226636,9.173533234293869,0.22499999999999998,5.027009105853174,0.11196102123157244,2.7632947368421052
Lor3D,28,6,47.05552824871137,15.623032389424235,0.21428571428571427,1.1768638911684612,0.10554964940390249,3.291114285714286,4,0.2857142857142857,28.02959937136235,11.708761712308918,0.30000000000000004,0.0,0.06670051483361285,3.1422421052631577
Lor3D,28,7,44.04809198314246,8.43907973962642,0.3214285714285714,1.2816522057424644,0.04601333553635933,2.973653968253968,6,0.3386243386243386,28.26027987512626,7.7282738691677775,0.30000000000000004,0.0,0.09350381635650491,2.8580315789473687
Lor4D,28,0,49.43009866337738,23.761020047257183,0.1607142857142857,2.370603846848799,0.09683285949603716,3.4657174603174603,3,0.2566137566137566,30.51790281232904,23.174317720533708,0.22499999999999998,0.0,0.14745445997127057,3.552768421052632
Lor4D,28,1,54.651441023819245,47.903419572484225,0.1607142857142857,0.0,0.058811130191592835,4.259368253968255,3,0.12433862433862433,35.42958140846956,55.68239998547713,0.22499999999999998,0.0,0.07604002752294799,4.436978947368421
