d,N,hubble,rep,R_dS,R_hat,n_causal_pairs,bd_ratio,bdg_d4,bdg_d2c,occupancy_R,M1_mean_interval,M2_interval_entropy,M3_c1_ratio,M4_tail_weight,M5_log_interval_ratio,M6_weighted_depth_ratio,M7_norm_bd_shift,C0,C1,C2,C3,total_pairs
2,512,2.000000,6,8.000000,1264.832811,23108,14.515048,0.072266,-1.167969,0.912455,14.907694,3.701602,0.420510,0.848927,-0.320681,28.115630,-1.167969,2023,1468,1276,1094,23108
2,512,2.000000,7,8.000000,1469.242547,23928,14.965443,2.423828,-0.714844,0.916876,15.322217,3.728783,0.437977,0.852098,-0.249377,28.589444,-0.714844,1989,1550,1272,1140,23928
3,128,0.000000,0,0.000000,-30.166555,2295,2.939785,-1.210938,-4.921875,0.674074,3.361220,2.302461,0.330349,0.513290,-0.706606,9.079596,-4.921875,748,369,261,165,2295
3,128,0.000000,1,0.000000,-19.977655,2454,3.136072,5.546875,-6.031250,0.672779,3.661369,2.363279,0.305363,0.528932,-0.821887,9.512632,-6.031250,803,353,208,192,2454
3,128,0.000000,2,0.000000,-35.489453,2533,3.348031,2.984375,-5.156250,0.691275,3.843269,2.413761,0.331624,0.538097,-0.700849,10.288957,-5.156250,782,388,248,189,2533
3,128,0.000000,3,0.000000,-32.044196,2490,3.306249,2.031250,-5.312500,0.690361,3.789157,2.403814,0.322496,0.542972,-0.742327,9.759936,-5.312500,771,367,250,200,2490
3,128,0.000000,4,0.000000,-57.149761,2439,3.341821,6.140625,-4.593750,0.689627,3.845838,2.405357,0.345156,0.526035,-0.640402,10.534755,-4.593750,757,399,226,180,2439
3,128,0.000000,5,0.000000,-48.395137,2345,2.917145,1.210938,-5.078125,0.670789,3.348827,2.295122,0.331602,0.507463,-0.700950,9.614288,-5.078125,772,383,260,189,2345
3,128,0.000000,6,0.000000,-72.601084,2265,2.883466,2.445312,-6.359375,0.648565,3.445916,2.304363,0.289920,0.505077,-0.895774,9.890199,-6.359375,796,325,217,191,2265
3,128,0.000000,7,0.000000,33.110064,2653,3.689407,2.500000,-4.875000,0.711647,4.184320,2.493949,0.337088,0.565021,-0.676296,10.644176,-4.875000,765,389,263,208,2653
3,128,0.250000,0,0.375000,-8.460052,1845,2.464209,0.640625,-4.343750,0.636314,2.872629,2.157227,0.329000,0.457995,-0.712711,8.458868,-4.343750,671,329,206,120,1845
3,128,0.250000,1,0.375000,-25.163115,1799,2.122332,0.195312,-6.109375,0.585325,2.625903,2.055257,0.280617,0.423569,-0.941402,8.441152,-6.109375,746,291,187,127,1799
3,128,0.250000,2,0.375000,12.381703,2014,2.436916,4.101562,-4.296875,0.651440,2.740814,2.138436,0.340845,0.471202,-0.659531,7.797826,-4.296875,702,363,227,183,2014
3,128,0.250000,3,0.375000,17.892412,1864,2.263594,5.453125,-4.843750,0.616953,2.668991,2.091813,0.322581,0.434549,-0.741937,8.440000,-4.843750,714,340,182,142,1864
3,128,0.250000,4,0.375000,-4.103710,2003,2.237629,-2.117188,-5.359375,0.626061,2.574139,2.077821,0.313474,0.455317,-0.783928,7.726144,-5.359375,749,342,246,151,2003
3,128,0.250000,5,0.375000,-13.353054,1973,2.441328,-0.046875,-4.468750,0.653827,2.733908,2.138407,0.327756,0.485048,-0.718352,7.197627,-4.468750,683,333,235,164,1973
3,128,0.250000,6,0.375000,6.764775,1899,2.342446,1.992188,-4.765625,0.638757,2.667193,2.111535,0.316052,0.471827,-0.771976,7.171372,-4.765625,686,317,208,161,1899
3,128,0.250000,7,0.375000,-17.458236,1953,2.397012,-0.773438,-5.171875,0.631848,2.793651,2.132448,0.310642,0.465950,-0.797118,7.983138,-5.171875,719,324,222,141,1953
3,128,0.500000,0,1.500000,-23.010022,1459,1.537651,2.234375,-5.406250,0.531871,1.891021,1.793560,0.285565,0.344757,-0.917023,6.854295,-5.406250,683,273,149,96,1459
