d,N,hubble,rep,R_dS,log_H,log_H_std,n_causal,order_frac,log_H_per_N,log_H_per_NlogN
3,64,0.0,1,0.0,136.06843291459523,6.439646934601406,591,0.2931547619047619,2.1260692642905505,0.5112115973630708
3,64,0.0,2,0.0,137.62645769019926,5.749471763861209,582,0.28869047619047616,2.1504134014093634,0.5170651250124094
3,64,0.0,3,0.0,141.5855026617062,5.227208654645344,525,0.2604166666666667,2.212273479089159,0.5319393295620174
3,64,0.0,4,0.0,142.52018010752812,5.746416954962121,473,0.23462301587301587,2.226877814180127,0.5354509298638873
3,64,0.2,0,0.24000000000000005,141.8885578952621,6.706621203474527,458,0.22718253968253968,2.2170087171134703,0.533077913631201
3,64,0.2,1,0.24000000000000005,140.37904868139628,7.50011333333852,423,0.20982142857142858,2.193422635646817,0.5274066598368771
3,64,0.2,2,0.24000000000000005,144.93875808979476,6.686788081608471,589,0.29216269841269843,2.264668095153043,0.5445375716894585
3,64,0.2,3,0.24000000000000005,143.6769626041692,6.155532150142209,433,0.21478174603174602,2.244952540690144,0.5397969829141249
3,64,0.2,4,0.24000000000000005,140.9102485546364,7.322610351308134,505,0.25049603174603174,2.201722633666194,0.5294023875005344
3,64,0.5,0,1.5,141.7248479207008,6.3924919935941835,436,0.21626984126984128,2.21445074876095,0.5324628522550457
3,64,0.5,1,1.5,149.16245475819812,7.777121061166266,366,0.18154761904761904,2.3306633555968457,0.5604060775168667
3,64,0.5,2,1.5,148.09484169520326,6.669846138301302,367,0.18204365079365079,2.313981901487551,0.5563950356638173
3,64,0.5,3,1.5,149.36045289085445,7.251318936384865,385,0.1909722222222222,2.3337570764196007,0.5611499601316806
3,64,0.5,4,1.5,147.01638169499935,7.015170012767481,427,0.21180555555555555,2.297130963984365,0.5523432416687879
3,64,1.0,0,6.0,159.97270279183581,8.55077002515285,260,0.12896825396825398,2.4995734811224346,0.60102037759215
3,64,1.0,1,6.0,152.92955771400028,7.004340462336259,221,0.10962301587301587,2.3895243392812544,0.5745591523940905
3,64,1.0,2,6.0,164.05128907650266,9.19997086731238,183,0.09077380952380952,2.563301391820354,0.6163437010471671
3,64,1.0,3,6.0,158.41139652878314,9.6519460697623,241,0.1195436507936508,2.4751780707622366,0.5951545213342985
3,64,1.0,4,6.0,161.9198155545991,7.381726252236576,200,0.0992063492063492,2.529997118040611,0.6083357159434265
3,64,2.0,0,24.0,186.15517523778573,6.8091344733640975,53,0.02628968253968254,2.908674613090402,0.6993884066441913
3,64,2.0,1,24.0,190.7528640516216,6.360710924089652,42,0.020833333333333332,2.9805135008065875,0.7166620078193779
3,64,2.0,2,24.0,191.14163130030101,9.253787383696087,53,0.02628968253968254,2.9865879890672034,0.7181226135009661
3,64,2.0,3,24.0,184.7669138737725,9.799211218041352,62,0.030753968253968252,2.8869830292776952,0.6941726832449214
3,64,2.0,4,24.0,186.16565631737012,8.662337640780464,67,0.033234126984126984,2.908838379958908,0.6994277842523673
3,96,0.0,0,0.0,227.1550419350582,10.332057278822141,1427,0.31293859649122807,2.3661983534901894,0.5184088185720227
3,96,0.0,1,0.0,227.68046681658288,7.928198374101951,1231,0.26995614035087717,2.371671529339405,0.5196079330172017
3,96,0.0,2,0.0,226.07092806200575,9.490885612374859,1329,0.2914473684210526,2.354905500645893,0.5159346749767979
3,96,0.0,3,0.0,225.7984068260367,8.3496076231849,1463,0.32083333333333336,2.352066737771216,0.5153127323125674
3,96,0.0,4,0.0,233.45786053195656,9.301154281856162,1214,0.2662280701754386,2.4318527138745476,0.5327929885849692
3,96,0.2,0,0.24000000000000005,246.33101992298214,9.780491787872727,1098,0.24078947368421053,2.5659481241977304,0.5621718625661103
3,96,0.2,1,0.24000000000000005,235.37629574540003,8.361772422701927,1117,0.2449561403508772,2.4518364140145836,0.537171204115807
3,96,0.2,2,0.24000000000000005,237.85810116982364,9.218645122127887,1000,0.21929824561403508,2.4776885538523294,0.5428351321846759
3,96,0.2,3,0.24000000000000005,237.36242249663795,9.449815883002852,1189,0.2607456140350877,2.4725252343399786,0.5417039039576089
3,96,0.2,4,0.24000000000000005,229.74148148847578,9.628866291252269,1154,0.2530701754385965,2.3931404321716228,0.5243115406149633
3,96,0.5,0,1.5,240.327184549925,11.926598687493625,953,0.20899122807017545,2.503408172395052,0.5484700262514346
3,96,0.5,1,1.5,241.32161253592596,8.976390730355352,887,0.19451754385964912,2.513766797249229,0.5507394904596079
3,96,0.5,2,1.5,244.21469620031775,11.419841951538983,964,0.21140350877192982,2.5439030854199767,0.5573420297284309
3,96,0.5,3,1.5,246.89541113981528,10.483081487498103,852,0.1868421052631579,2.5718271993730757,0.5634599052238407
