d,N,H,H_sq,rep,n_causal_pairs,C_0,C_1,C_2,N_2,N_3,N_4,N_5,longest_chain,longest_chain_ratio,N3_over_N2,N4_over_N3,N5_over_N4,N4_over_N2sq,chain_entropy,N2_per_N,N3_per_N,N4_per_N
2,512,0.0,0.0,2,63857,2402,1912,1631,63857.0,2982730.0,69732157.0,964585758.0,33.0,0.064453125,46.709522840095836,23.378635344131048,13.832725094105436,0.017100786156207793,0.2665389264087001,124.720703125,5825.64453125,136195.619140625
2,512,0.0,0.0,3,64973,2430,1843,1716,64973.0,3124933.0,74417623.0,1036993831.0,32.0,0.0625,48.09587059239992,23.814149935374616,13.934788416985585,0.01762828057131095,0.2648970751912307,126.900390625,6103.384765625,145346.919921875
2,512,0.0,0.0,4,63958,2393,1925,1632,63958.0,3037558.0,72796137.0,1036117225.0,34.0,0.06640625,47.49301103849401,23.965348809800503,14.233134719772286,0.017795843765677704,0.2610243299390263,124.91796875,5932.73046875,142179.955078125
2,512,0.0,0.0,5,65294,2451,2001,1570,65294.0,3174189.0,76928039.0,1096342403.0,33.0,0.064453125,48.61379299782522,24.235494168746726,14.251531915430732,0.018044219939342875,0.26060496727116533,127.52734375,6199.587890625,150250.076171875
2,512,0.0,0.0,6,64975,2359,1951,1614,64975.0,3135667.0,75681340.0,1077699405.0,32.0,0.0625,48.25959215082724,24.13564322997308,14.239961990630716,0.017926530182014244,0.2608180392599678,126.904296875,6124.349609375,147815.1171875
2,512,0.0,0.0,7,66552,2432,1846,1693,66552.0,3316544.0,82702537.0,1210313461.0,33.0,0.064453125,49.83387426373362,24.936360560873005,14.634538490639049,0.018672248118548975,0.25549164484475695,129.984375,6477.625,161528.392578125
2,512,0.25,0.0625,0,59113,2229,1882,1640,59113.0,2509581.0,52267896.0,636393720.0,30.0,0.05859375,42.453961057635375,20.82733970332099,12.175613879693952,0.014957844614533733,0.29254417451545695,115.455078125,4901.525390625,102085.734375
2,512,0.25,0.0625,1,61095,2376,1914,1638,61095.0,2719601.0,59938952.0,776809635.0,30.0,0.05859375,44.51429740567968,22.03961242844079,12.960013631869973,0.016058234918496235,0.2795587826025093,119.326171875,5311.720703125,117068.265625
2,512,0.25,0.0625,2,61351,2309,1838,1601,61351.0,2623366.0,55518820.0,692266212.0,30.0,0.05859375,42.75995501295822,21.163200254939646,12.469036841921351,0.01475016692199712,0.2876483118262119,119.826171875,5123.76171875,108435.1953125
2,512,0.25,0.0625,3,58058,2344,1919,1634,58058.0,2413584.0,49780976.0,604310412.0,30.0,0.05859375,41.57194529608323,20.625333943214738,12.139384571327007,0.01476859785732839,0.2933342597514984,113.39453125,4714.03125,97228.46875
2,512,0.25,0.0625,4,59226,2399,1900,1606,59226.0,2515160.0,53252601.0,664884507.0,31.0,0.060546875,42.46715969337791,21.172649453712687,12.485484173815285,0.015181546710612353,0.2873932185808322,115.67578125,4912.421875,104008.986328125
2,512,0.25,0.0625,5,59225,2337,1862,1625,59225.0,2514028.0,52653790.0,647942983.0,31.0,0.060546875,42.448763191219925,20.943995054947678,12.305723538609472,0.015011341264087043,0.2903840986315277,115.673828125,4910.2109375,102839.43359375
2,512,0.25,0.0625,6,59540,2344,1854,1577,59540.0,2517887.0,52644345.0,649608913.0,32.0,0.0625,42.2889989922741,20.908144408386875,12.339576321065444,0.014850260292519213,0.289893297289327,116.2890625,4917.748046875,102820.986328125
2,512,0.25,0.0625,7,60493,2438,1906,1605,60493.0,2629064.0,56893193.0,725934486.0,31.0,0.060546875,43.460631808639015,21.640094345363977,12.75960176817638,0.015547124008531152,0.28283989718905567,118.150390625,5134.890625,111119.517578125
2,512,0.5,0.25,0,54299,2395,1863,1625,54299.0,2111958.0,41007764.0,468530030.0,30.0,0.05859375,38.89497044144459,19.416941056592982,11.425398127047357,0.013908568269387207,0.3066107363382553,106.052734375,4124.91796875,80093.2890625
