d,N,hubble,rep,seed,R_dS,R_hat,flat_prefactor,flat_r2,n_causal_pairs,bd_ratio,bdg_d4,bdg_d2c,occupancy_R,f_link,wall_sigma
3,128,1.000000,5,20688473,6.000000,237.389848,0.169429,0.104765,810,0.999384,3.671875,-3.031250,0.472840,0.527160,1.000000
3,128,1.000000,6,20688483,6.000000,15.920637,0.151705,0.148320,711,0.713614,0.671875,-3.656250,0.392405,0.607595,0.999925
3,128,1.000000,7,20688493,6.000000,-237.894490,0.210504,0.271515,570,0.723158,-0.195312,-2.515625,0.401754,0.598246,0.999960
3,128,2.000000,0,20688523,24.000000,2591.942188,0.132920,0.137054,213,0.289030,0.828125,-1.093750,0.220657,0.779343,0.123881
3,128,2.000000,1,20688533,24.000000,-70.458437,0.140642,0.043997,179,0.180331,0.148438,-1.078125,0.150838,0.849162,0.001344
3,128,2.000000,2,20688543,24.000000,-2050.001958,0.378146,0.059254,142,0.119024,0.476562,-0.796875,0.105634,0.894366,0.000066
3,128,2.000000,3,20688553,24.000000,3745.484974,0.097984,0.036296,214,0.410210,1.578125,-0.718750,0.289720,0.710280,0.933886
3,128,2.000000,4,20688563,24.000000,49.570537,0.068474,0.107580,211,0.447901,3.367188,-0.265625,0.327014,0.672986,0.994143
3,128,2.000000,5,20688573,24.000000,-2223.718856,0.549200,0.054581,152,0.197368,0.750000,-0.750000,0.157895,0.842105,0.002150
3,128,2.000000,6,20688583,24.000000,-104.904213,0.116591,0.096392,267,0.310188,0.882812,-1.484375,0.235955,0.764045,0.281642
3,128,2.000000,7,20688593,24.000000,732.474946,0.184772,0.015302,212,0.176575,1.445312,-1.359375,0.150943,0.849057,0.001353
3,256,0.000000,0,20816323,0.000000,-16.663387,0.245883,0.792122,9649,6.719542,0.480469,-7.226562,0.775106,0.224894,1.000000
3,256,0.000000,1,20816333,0.000000,23.938886,0.229752,0.781536,10069,6.665609,-0.714844,-7.867188,0.774556,0.225444,1.000000
3,256,0.000000,2,20816343,0.000000,-5.854458,0.248928,0.722393,9269,6.077768,3.531250,-6.937500,0.772144,0.227856,1.000000
3,256,0.000000,3,20816353,0.000000,29.708195,0.240811,0.735371,9738,6.413673,0.925781,-8.210938,0.767098,0.232902,1.000000
3,256,0.000000,4,20816363,0.000000,55.482708,0.249056,0.741766,9999,6.624952,4.761719,-6.289062,0.794079,0.205921,1.000000
3,256,0.000000,5,20816373,0.000000,47.253795,0.252933,0.704130,9360,6.364207,1.929688,-6.453125,0.774679,0.225321,1.000000
3,256,0.000000,6,20816383,0.000000,-39.543927,0.255017,0.753368,9075,5.974479,-0.097656,-8.320312,0.754931,0.245069,1.000000
3,256,0.000000,7,20816393,0.000000,29.290586,0.220295,0.694368,9604,6.024085,-0.117188,-6.609375,0.773115,0.226885,1.000000
3,256,0.250000,0,20816348,0.375000,0.940568,0.113045,0.369794,7663,4.617343,5.117188,-6.515625,0.739528,0.260472,1.000000
3,256,0.250000,1,20816358,0.375000,-6.704527,0.139366,0.372737,7968,4.836208,4.644531,-7.273438,0.730547,0.269453,1.000000
3,256,0.250000,2,20816368,0.375000,0.417408,0.124597,0.365601,7469,4.464381,2.515625,-6.656250,0.735172,0.264828,1.000000
3,256,0.250000,3,20816378,0.375000,-7.151750,0.148500,0.386291,7533,5.171948,3.148438,-6.140625,0.742865,0.257135,1.000000
3,256,0.250000,4,20816388,0.375000,-2.600796,0.135558,0.380437,7298,4.705792,2.160156,-6.992188,0.729241,0.270759,1.000000
3,256,0.250000,5,20816398,0.375000,33.206631,0.135321,0.356118,7652,4.916860,-2.226562,-7.703125,0.731312,0.268688,1.000000
3,256,0.250000,6,20816408,0.375000,6.999458,0.124494,0.355920,7392,4.673671,-3.312500,-6.875000,0.736878,0.263122,1.000000
3,256,0.250000,7,20816418,0.375000,3.731026,0.127671,0.365283,7141,4.396612,1.980469,-7.726562,0.714606,0.285394,1.000000
3,256,0.500000,0,20816373,1.500000,-4.548019,0.146692,0.351572,6225,3.704152,1.597656,-6.429688,0.706185,0.293815,1.000000
3,256,0.500000,1,20816383,1.500000,-4.244632,0.149095,0.350596,5784,3.664856,1.613281,-6.148438,0.696577,0.303423,1.000000
3,256,0.500000,2,20816393,1.500000,-0.788998,0.130422,0.329295,6161,3.364852,4.972656,-5.992188,0.695666,0.304334,1.000000
3,256,0.500000,3,20816403,1.500000,-9.572262,0.133865,0.344330,6113,3.358626,3.828125,-6.656250,0.690986,0.309014,1.000000
3,256,0.500000,4,20816413,1.500000,49.203507,0.131026,0.332368,6242,3.787148,2.777344,-6.070312,0.716757,0.283243,1.000000
3,256,0.500000,5,20816423,1.500000,14.069953,0.118889,0.307936,6426,3.582288,3.343750,-6.000000,0.710707,0.289293,1.000000
3,256,0.500000,6,20816433,1.500000,-10.027729,0.152728,0.339727,6032,3.765804,-1.160156,-6.382812,0.697281,0.302719,1.000000
3,256,0.500000,7,20816443,1.500000,17.379319,0.130899,0.319425,6148,3.420721,-1.277344,-7.117188,0.691932,0.308068,1.000000
3,256,1.000000,0,20816423,6.000000,196.628589,0.133194,0.220745,3666,1.914584,-0.335938,-5.046875,0.611293,0.388707,1.000000
3,256,1.000000,1,20816433,6.000000,42.112822,0.195961,0.257783,3384,1.971447,0.445312,-5.171875,0.593381,0.406619,1.000000
3,256,1.000000,2,20816443,6.000000,124.634276,0.169169,0.229138,3011,1.610186,1.691406,-4.492188,0.573896,0.426104,1.000000
3,256,1.000000,3,20816453,6.000000,136.088707,0.145707,0.204478,3438,1.918104,2.289062,-4.734375,0.599767,0.400233,1.000000
3,256,1.000000,4,20816463,6.000000,135.522871,0.133549,0.228753,3023,1.811867,0.781250,-4.500000,0.592458,0.407542,1.000000
3,256,1.000000,5,20816473,6.000000,135.834501,0.188295,0.210109,3310,1.770678,-1.242188,-5.859375,0.567976,0.432024,1.000000
3,256,1.000000,6,20816483,6.000000,391.271510,0.149435,0.244634,3712,2.018350,2.082031,-5.835938,0.597791,0.402209,1.000000
3,256,1.000000,7,20816493,6.000000,66.613740,0.118848,0.211345,3623,1.908870,4.457031,-4.585938,0.611372,0.388628,1.000000
3,256,2.000000,0,20816523,24.000000,2152.048960,0.166287,0.001274,735,0.417545,0.339844,-2.070312,0.288435,0.711565,0.928399
