d,N,hubble,rep,R_dS,H2,n_causal_pairs,b1_mean,b1_std,w_max_ratio,mean_layer_width,n_patches,b1_std_patch_mean,b1_std_patch_std,wmr_patch_mean,wmr_patch_std
4,128,0.5,3,3.0,0.25,714,0.234375,12.211984620010583,0.5390625,32.0,2,5.46824212541951,5.46824212541951,nan,nan
4,128,0.5,4,3.0,0.25,774,-1.5859375,17.503360098738007,0.5078125,32.0,1,16.70134405523614,nan,nan,nan
4,128,0.5,5,3.0,0.25,726,-1.4296875,11.736483977424575,0.5234375,25.6,2,5.612272012771888,5.3122720127718885,nan,nan
4,128,0.5,6,3.0,0.25,690,-0.5078125,14.972368348556074,0.515625,32.0,1,13.904202999771513,nan,nan,nan
4,128,0.5,7,3.0,0.25,914,2.9296875,21.104717924017457,0.4609375,32.0,1,15.794627401873678,nan,nan,nan
4,128,0.5,8,3.0,0.25,681,0.21875,13.927231362962992,0.5625,32.0,1,12.223835380304607,nan,nan,nan
4,128,0.5,9,3.0,0.25,804,-0.8984375,14.88541643887042,0.4765625,32.0,2,6.403896181814956,6.403896181814956,nan,nan
4,128,0.5,10,3.0,0.25,627,0.78125,12.830589364386189,0.5546875,32.0,1,10.646919428090479,nan,nan,nan
4,128,0.5,11,3.0,0.25,686,1.5078125,14.123891601284816,0.5625,32.0,2,5.544548383267308,5.544548383267308,nan,nan
4,128,0.5,12,3.0,0.25,684,1.65625,12.971987547692914,0.5390625,32.0,2,4.937711954188681,4.937711954188681,nan,nan
4,128,0.5,13,3.0,0.25,843,3.3046875,18.621039257445965,0.5234375,32.0,2,6.963239000929566,6.963239000929566,nan,nan
4,128,0.5,14,3.0,0.25,742,1.7109375,18.211926185087993,0.484375,32.0,2,3.414285597541839,3.414285597541839,nan,nan
4,128,0.5,15,3.0,0.25,632,1.5703125,11.667050019278385,0.59375,32.0,1,10.904636531836664,nan,nan,nan
4,128,0.5,16,3.0,0.25,611,0.6875,9.995897596014077,0.5,32.0,1,8.642427203683901,nan,nan,nan
4,128,0.5,17,3.0,0.25,705,-0.125,12.56421008261164,0.4765625,32.0,1,11.701085954881076,nan,nan,nan
4,128,0.5,18,3.0,0.25,671,2.4140625,13.461477064055554,0.53125,32.0,2,5.633418083682016,5.633418083682016,nan,nan
4,128,0.5,19,3.0,0.25,645,0.484375,9.671950726682544,0.6015625,32.0,1,8.379811709648946,nan,nan,nan
4,128,0.5,20,3.0,0.25,486,0.5546875,10.044283661732367,0.609375,32.0,1,8.76226819950177,nan,nan,nan
4,128,0.5,21,3.0,0.25,715,-2.296875,15.258890530912627,0.515625,25.6,1,15.042180682251695,nan,nan,nan
4,128,0.5,22,3.0,0.25,740,2.5390625,15.618449798910703,0.4921875,32.0,1,15.699503241901054,nan,nan,nan
4,128,0.5,23,3.0,0.25,656,1.328125,13.730161469712401,0.5546875,32.0,2,5.1706880516687574,5.1706880516687574,nan,nan
4,128,0.5,24,3.0,0.25,702,0.1484375,14.10844707289196,0.53125,32.0,2,6.17599681477681,6.17599681477681,nan,nan
4,128,0.5,25,3.0,0.25,787,1.4140625,18.581125900926825,0.5546875,32.0,1,18.116735799392064,nan,nan,nan
4,128,0.5,26,3.0,0.25,835,0.4921875,13.940720532484816,0.5078125,25.6,2,3.9499066836998598,3.70046285791493,nan,nan
4,128,0.5,27,3.0,0.25,593,-0.3125,13.051430716591955,0.4921875,32.0,1,11.45240796876528,nan,nan,nan
4,128,0.5,28,3.0,0.25,833,-1.6171875,15.272074747389228,0.5703125,32.0,2,7.199430616830045,7.199430616830045,nan,nan
4,128,0.5,29,3.0,0.25,756,2.09375,14.177136909034207,0.5234375,32.0,1,12.323707409217912,nan,nan,nan
4,128,0.5,30,3.0,0.25,805,0.5625,15.135714180374839,0.53125,32.0,2,6.931978346181989,6.931978346181989,nan,nan
4,128,0.5,31,3.0,0.25,648,0.796875,12.474573749606638,0.5234375,32.0,2,4.5397651322090775,4.5397651322090775,nan,nan
4,128,1.0,0,12.0,1.0,258,0.6875,5.885296827688473,0.6796875,32.0,1,5.674625374581949,nan,nan,nan
4,128,1.0,1,12.0,1.0,225,0.734375,4.511243549108715,0.7421875,32.0,1,4.347012973645648,nan,nan,nan
4,128,1.0,2,12.0,1.0,258,-0.203125,5.99786338910574,0.765625,42.666666666666664,1,5.99786338910574,nan,nan,nan
4,128,1.0,3,12.0,1.0,329,0.9296875,4.389589235035979,0.7265625,42.666666666666664,1,4.389589235035979,nan,nan,nan
4,128,1.0,4,12.0,1.0,316,-0.1796875,7.295582560861315,0.6875,42.666666666666664,1,7.295582560861315,nan,nan,nan
4,128,1.0,5,12.0,1.0,232,0.9296875,4.884899553966668,0.7109375,32.0,1,4.839144845388043,nan,nan,nan
4,128,1.0,6,12.0,1.0,263,-0.046875,6.237311338579709,0.7109375,42.666666666666664,1,6.237311338579709,nan,nan,nan
