d,N,hubble,rep,R_dS,H2,n_causal_pairs,b1_mean,b1_std,w_max_ratio,mean_layer_width,layer_width_std
4,512,1.0,12,12.0,1.0,4159,1.669921875,18.835700851213275,0.58203125,85.33333333333333,70.17755259973725
4,512,1.0,13,12.0,1.0,4438,1.798828125,17.925642819762672,0.61328125,102.4,80.2710408553421
4,512,1.0,14,12.0,1.0,3813,0.462890625,16.448386065030427,0.630859375,102.4,79.75863589605831
4,512,1.0,15,12.0,1.0,3731,-0.287109375,17.19856433199548,0.59375,102.4,79.12167844529083
4,512,2.0,0,48.0,4.0,318,0.671875,2.022758694054978,0.90234375,170.66666666666666,108.4752916054568
4,512,2.0,1,48.0,4.0,342,0.654296875,1.6792684342788184,0.908203125,170.66666666666666,108.55515751092724
4,512,2.0,2,48.0,4.0,358,0.65234375,2.0435288429175493,0.90625,170.66666666666666,115.72764963002096
4,512,2.0,3,48.0,4.0,296,0.615234375,1.8099125776728442,0.904296875,170.66666666666666,114.25215777198939
4,512,2.0,4,48.0,4.0,331,0.666015625,2.005796615376509,0.880859375,170.66666666666666,110.63553779063137
4,512,2.0,5,48.0,4.0,239,0.552734375,2.2957910588059534,0.90625,170.66666666666666,127.38742306662598
4,512,2.0,6,48.0,4.0,257,0.771484375,2.0407296450365147,0.912109375,170.66666666666666,124.92486630860256
4,512,2.0,7,48.0,4.0,323,0.779296875,2.390598670964082,0.927734375,170.66666666666666,116.4598166274054
4,512,2.0,8,48.0,4.0,222,0.80078125,1.3733510620553062,0.900390625,170.66666666666666,134.11769292511542
4,512,2.0,9,48.0,4.0,320,0.5703125,1.3574654332040097,0.90625,170.66666666666666,116.0497977402613
4,512,2.0,10,48.0,4.0,343,0.53515625,1.7406935508830776,0.8984375,170.66666666666666,112.19724694582405
4,512,2.0,11,48.0,4.0,446,0.724609375,2.6138789430006337,0.8671875,170.66666666666666,101.84410744968126
4,512,2.0,12,48.0,4.0,267,0.615234375,1.2969323570712388,0.92578125,170.66666666666666,121.15371320030692
4,512,2.0,13,48.0,4.0,203,0.642578125,1.484024167010593,0.91015625,170.66666666666666,141.86926689346387
4,512,2.0,14,48.0,4.0,240,0.62890625,1.045350744348966,0.900390625,170.66666666666666,132.3740491519727
4,512,2.0,15,48.0,4.0,317,0.72265625,2.2915508818998407,0.90625,170.66666666666666,104.92642925190752
4,1024,0.0,0,0.0,0.0,85819,5.177734375,58.52539890288612,nan,113.77777777777777,52.887254876719226
4,1024,0.0,1,0.0,0.0,88553,2.48046875,58.54743677485184,nan,113.77777777777777,57.52637612971361
4,1024,0.0,2,0.0,0.0,94124,-0.029296875,58.24440961215175,nan,128.0,44.19841626121914
4,1024,0.0,3,0.0,0.0,89980,-0.1474609375,58.14121693630442,nan,113.77777777777777,56.65446491726604
4,1024,0.0,4,0.0,0.0,88315,4.5986328125,61.37818250154772,nan,113.77777777777777,62.56690246408733
4,1024,0.0,5,0.0,0.0,87720,2.3095703125,54.619966034950245,nan,113.77777777777777,60.52323296383845
4,1024,0.0,6,0.0,0.0,89297,0.205078125,52.59672018493783,nan,128.0,45.0249930594109
4,1024,0.0,7,0.0,0.0,87630,-1.6376953125,57.963203785901236,nan,113.77777777777777,57.792305865780705
4,1024,0.0,8,0.0,0.0,92566,-2.8125,59.5150158310909,nan,113.77777777777777,61.0715023154149
4,1024,0.0,9,0.0,0.0,95574,0.376953125,60.98056568052278,nan,113.77777777777777,46.271608232209324
4,1024,0.0,10,0.0,0.0,92954,1.287109375,59.53030338686161,nan,113.77777777777777,58.849672476720585
