d,N,hubble,rep,R_dS,H2,n_causal_pairs,w_max_ratio,n_layers,layer_ratio,mean_layer_width,layer_width_std,layer_width_cv,max_layer_width_ratio,layer_entropy,b1_mean,b1_std,b1_neg_frac,eig_min,eig_max,eig_gap,eig_spread
2,512,0.0,3,0.0,0.0,64378,0.0625,34.0,0.06640625,15.058823529411764,5.240909084088529,0.3480291188652539,0.04296875,3.4479653560030576,-0.4609375,5.36831320072644,0.544921875,-8.019439989062045,11.960891888657171,0.6110199501736062,19.980331877719216
2,512,0.0,4,0.0,0.0,67906,0.0625,33.0,0.064453125,15.515151515151516,4.697653909109357,0.30277847461056406,0.046875,3.4407516782965244,-0.875,5.581778390441527,0.546875,-7.949433011000614,11.970291449063666,0.4750979675646736,19.91972446006428
2,512,0.0,5,0.0,0.0,65719,0.068359375,31.0,0.060546875,16.516129032258064,5.117149961187981,0.30982743905630356,0.052734375,3.3731950647865694,-0.8046875,5.628552480642226,0.55859375,-8.034298472716063,11.93313906665679,0.31978554917922253,19.967437539372852
2,512,0.0,6,0.0,0.0,63827,0.060546875,33.0,0.064453125,15.515151515151516,4.652280067400071,0.29985398871914515,0.044921875,3.440027044318445,-0.7578125,5.547023545546184,0.556640625,-8.05376361432008,11.815414532501386,0.47600856470763553,19.869178146821465
2,512,0.0,7,0.0,0.0,63905,0.064453125,36.0,0.0703125,14.222222222222221,5.716016051951992,0.40190737865287446,0.044921875,3.482562754301392,-1.015625,5.583155994540633,0.556640625,-8.526140138301075,11.968640775174357,0.5010798403647563,20.49478091347543
2,512,0.25,0,0.125,0.0625,57432,0.0703125,31.0,0.060546875,16.516129032258064,5.852327729572091,0.35434015550143516,0.05078125,3.3565402411637404,-0.40234375,5.320420049849066,0.501953125,-7.547016652642075,11.279448305317915,0.2609432147242483,18.826464957959992
2,512,0.25,1,0.125,0.0625,60293,0.0703125,34.0,0.06640625,15.058823529411764,6.453185152768898,0.42853182655105965,0.048828125,3.401481217859364,-0.9609375,5.801269181919914,0.55859375,-8.828832814061329,12.013322972987227,0.18326720143323172,20.842155787048554
2,512,0.25,2,0.125,0.0625,56935,0.06640625,31.0,0.060546875,16.516129032258064,4.970045548839993,0.3009207265899215,0.048828125,3.377681905155319,-1.26171875,5.843153326406765,0.59765625,-8.059644122268258,11.923226976991364,0.2618687319268034,19.982871099259622
2,512,0.25,3,0.125,0.0625,61235,0.068359375,30.0,0.05859375,17.066666666666666,3.881007887420769,0.22740280590356068,0.044921875,3.3725879785421005,-1.0078125,5.199152716053237,0.5703125,-7.922996772117773,11.844038872522159,0.7470663193612772,19.767035644639932
2,512,0.25,4,0.125,0.0625,60332,0.068359375,31.0,0.060546875,16.516129032258064,4.13381779130839,0.2502897490831252,0.044921875,3.3920788495846543,-1.25390625,5.816697440662608,0.552734375,-9.547868866052895,12.804853749100207,0.9184099492408624,22.3527226151531
2,512,0.25,5,0.125,0.0625,59949,0.0703125,31.0,0.060546875,16.516129032258064,5.002392767736808,0.30287924960906454,0.048828125,3.3786697706781705,-0.77734375,5.096455797349363,0.556640625,-8.69193773298106,12.51275044424045,0.5912397470697517,21.20468817722151
2,512,0.25,6,0.125,0.0625,60612,0.072265625,30.0,0.05859375,17.066666666666666,4.972814986392405,0.29137587810892995,0.05078125,3.3445263794763616,-1.20703125,5.708760860425267,0.568359375,-8.268371147705048,11.994463073240095,0.5490818289213966,20.262834220945145
2,512,0.25,7,0.125,0.0625,60712,0.068359375,32.0,0.0625,16.0,4.630064794363034,0.2893790496476896,0.044921875,3.413067861894861,-0.87109375,5.716528288980204,0.548828125,-8.731504995470761,12.400283473250482,0.9957597167616186,21.131788468721243
2,512,0.5,0,0.5,0.25,53497,0.078125,29.0,0.056640625,17.655172413793103,6.121053898826774,0.34670031848823524,0.052734375,3.2945593625551735,-0.8046875,5.351049245460534,0.572265625,-8.675997242273636,11.89643250597737,0.2293850185306514,20.572429748251004
2,512,0.5,1,0.5,0.25,54280,0.08203125,32.0,0.0625,16.0,6.067330549755798,0.3792081593597374,0.052734375,3.3691094486986177,-0.515625,5.672004130761454,0.509765625,-7.899630984657733,11.941749198406924,0.5956049672456256,19.841380183064658
2,512,0.5,2,0.5,0.25,52739,0.080078125,29.0,0.056640625,17.655172413793103,5.867948370062723,0.3323642631480839,0.060546875,3.2962152245851337,-1.7109375,5.5475956838159854,0.615234375,-8.460178217409023,12.224034901836529,0.5697668702358811,20.684213119245552
2,512,0.5,3,0.5,0.25,53439,0.08203125,28.0,0.0546875,18.285714285714285,5.534677322231576,0.30267766605953933,0.048828125,3.2694790736548067,-1.25390625,5.58649882450636,0.583984375,-8.324106679781451,11.97466199087009,0.16892662573136974,20.29876867065154
2,512,0.5,4,0.5,0.25,55643,0.076171875,32.0,0.0625,16.0,5.744562646538029,0.3590351654086268,0.048828125,3.3808969242720908,-0.62109375,5.154354232463165,0.529296875,-7.839228293885489,11.545547526087809,0.45969123915474697,19.3847758199733
2,512,0.5,5,0.5,0.25,53974,0.0703125,30.0,0.05859375,17.066666666666666,6.303085664092539,0.3693214256304222,0.046875,3.3059934160264803,-0.49609375,5.583526304335902,0.53515625,-8.580356766502453,12.102524300041832,0.4896897772220772,20.682881066544283
