d,N,p_frw,rep,bin_label,n_matched,H_local,n_causal_pairs,w_max_ratio,n_layers,layer_ratio,mean_layer_width
4,128,0.5,7,early,64,1.1765251000872632,300,0.53125,4.0,0.0625,16.0
4,128,0.5,7,late,64,0.5445072957976826,8,0.890625,2.0,0.03125,32.0
4,128,1.0,0,early,64,1.6424454972456113,261,0.609375,4.0,0.0625,16.0
4,128,1.0,0,late,64,1.1026589152940505,10,0.875,2.0,0.03125,32.0
4,128,1.0,1,early,64,1.5964600306299315,214,0.65625,4.0,0.0625,16.0
4,128,1.0,1,late,64,1.0797179824930558,7,0.90625,2.0,0.03125,32.0
4,128,1.0,2,early,64,1.53949485606143,214,0.6875,4.0,0.0625,16.0
4,128,1.0,2,late,64,1.09788436340855,4,0.9375,2.0,0.03125,32.0
4,128,1.0,3,early,64,1.5613466039266104,186,0.640625,4.0,0.0625,16.0
4,128,1.0,3,late,64,1.0772494564515949,2,0.96875,2.0,0.03125,32.0
4,128,1.0,4,early,64,1.5201852710497739,101,0.703125,3.0,0.046875,21.333333333333332
4,128,1.0,4,late,64,1.0886342262497912,3,0.953125,2.0,0.03125,32.0
4,128,1.0,5,early,64,1.576771212608413,222,0.625,4.0,0.0625,16.0
4,128,1.0,5,late,64,1.0933709256724002,2,0.96875,2.0,0.03125,32.0
4,128,1.0,6,early,64,1.6266267465108126,405,0.65625,5.0,0.078125,12.8
4,128,1.0,6,late,64,1.0822222323235868,2,0.96875,2.0,0.03125,32.0
4,128,1.0,7,early,64,1.5784170253784198,269,0.640625,5.0,0.078125,12.8
4,128,1.0,7,late,64,1.079707065572516,2,0.96875,2.0,0.03125,32.0
4,128,1.5,0,early,64,2.1455725865359576,221,0.703125,5.0,0.078125,12.8
4,128,1.5,0,late,64,1.594421570623207,4,0.9375,2.0,0.03125,32.0
4,128,1.5,1,early,64,2.091290308022038,230,0.734375,4.0,0.0625,16.0
4,128,1.5,1,late,64,1.5814389932052204,3,0.96875,2.0,0.03125,32.0
4,128,1.5,2,early,64,2.056342671498575,164,0.6875,3.0,0.046875,21.333333333333332
4,128,1.5,2,late,64,1.6059711947416084,5,0.921875,2.0,0.03125,32.0
4,128,1.5,3,early,64,2.0411377489858644,138,0.671875,3.0,0.046875,21.333333333333332
4,128,1.5,3,late,64,1.5799602106081712,2,0.96875,2.0,0.03125,32.0
4,128,1.5,4,early,64,2.0097740902215224,140,0.6875,4.0,0.0625,16.0
