d,N,p_frw,rep,t_center,H_local,n_causal_pairs,w_max_ratio,n_layers,layer_ratio,mean_layer_width,layer_width_std,layer_width_cv,max_layer_width_ratio,layer_entropy
2,128,1.0,7,0.2,5.0,3257,0.15625,15.0,0.1171875,8.533333333333333,2.8487814158961995,0.3338415721753359,0.09375,2.640393649874721
2,128,1.0,0,0.4,2.5,2035,0.1875,12.0,0.09375,10.666666666666666,4.249182927993988,0.39836089949943637,0.1171875,2.389465705073989
2,128,1.0,1,0.4,2.5,1767,0.2109375,11.0,0.0859375,11.636363636363637,3.7482778414706006,0.32211762700137975,0.125,2.3303770817999196
2,128,1.0,2,0.4,2.5,2057,0.2109375,13.0,0.1015625,9.846153846153847,4.817374865184976,0.4892646347453491,0.140625,2.4235970758220313
2,128,1.0,3,0.4,2.5,2165,0.171875,11.0,0.0859375,11.636363636363637,4.354156369028381,0.3741853129633765,0.1328125,2.311574496232548
2,128,1.0,4,0.4,2.5,1931,0.1875,12.0,0.09375,10.666666666666666,4.642796092394706,0.43526213366200367,0.1171875,2.3650727067831068
2,128,1.0,5,0.4,2.5,1823,0.1796875,11.0,0.0859375,11.636363636363637,4.006193552096492,0.34428225838329224,0.125,2.325091270701904
2,128,1.0,6,0.4,2.5,1919,0.2109375,14.0,0.109375,9.142857142857142,5.792324266489512,0.6335354666472904,0.1328125,2.3939933990583953
2,128,1.0,7,0.4,2.5,2143,0.21875,13.0,0.1015625,9.846153846153847,5.201274309039067,0.5282544220117802,0.125,2.4012473775821137
2,128,1.0,0,0.6,1.6666666666666667,1396,0.21875,10.0,0.078125,12.8,6.128621378417825,0.47879854518889253,0.15625,2.1569107625406265
2,128,1.0,1,0.6,1.6666666666666667,1468,0.2265625,9.0,0.0703125,14.222222222222221,6.390579486465958,0.4493376201421377,0.1953125,2.0661671759267097
2,128,1.0,2,0.6,1.6666666666666667,1325,0.2265625,10.0,0.078125,12.8,6.2257529665093525,0.48638695050854314,0.15625,2.15078066843513
2,128,1.0,3,0.6,1.6666666666666667,1228,0.2109375,10.0,0.078125,12.8,5.4,0.421875,0.140625,2.1928842170194667
2,128,1.0,4,0.6,1.6666666666666667,1325,0.2265625,10.0,0.078125,12.8,6.477653896280659,0.5060667106469264,0.171875,2.150981530872975
2,128,1.0,5,0.6,1.6666666666666667,1466,0.2265625,11.0,0.0859375,11.636363636363637,6.5404020904018,0.5620658046439047,0.1484375,2.2007647698395267
2,128,1.0,6,0.6,1.6666666666666667,1324,0.234375,10.0,0.078125,12.8,5.878775382679628,0.4592793267718459,0.1484375,2.166532471742807
2,128,1.0,7,0.6,1.6666666666666667,1460,0.2265625,10.0,0.078125,12.8,5.723635208501674,0.4471590006641933,0.15625,2.1705569681942283
