d,N,p_frw,rep,bin_label,t_mean,H_local,H_local_sq,n_elements,n_causal_pairs,w_max_ratio,n_layers,layer_ratio,mean_layer_width
2,128,2.0,3,early,0.6186404218697452,3.402999846659576,11.580407956365098,64,1070,0.171875,15.0,0.234375,4.266666666666667
2,128,2.0,3,late,0.9206431328626838,2.1799561586534875,4.752208853651269,64,290,0.3125,7.0,0.109375,9.142857142857142
2,128,2.0,4,early,0.6186159665317967,3.538424611912199,12.520448734185997,64,1179,0.1875,14.0,0.21875,4.571428571428571
2,128,2.0,4,late,0.9266149590541588,2.163892065760685,4.682428872262045,64,278,0.3125,6.0,0.09375,10.666666666666666
2,128,2.0,5,early,0.6078223969322758,3.4245260293725686,11.72737852585025,64,1023,0.15625,13.0,0.203125,4.923076923076923
2,128,2.0,5,late,0.9087984851447083,2.2104069834881703,4.885899032653272,64,330,0.28125,6.0,0.09375,10.666666666666666
2,128,2.0,6,early,0.5706017630140334,3.928767964367091,15.435217717837137,64,1276,0.21875,16.0,0.25,4.0
2,128,2.0,6,late,0.8837397322898657,2.278961736854824,5.193666598048356,64,405,0.265625,9.0,0.140625,7.111111111111111
2,128,2.0,7,early,0.5401209414596473,4.391530265402427,19.285538071945506,64,1381,0.15625,18.0,0.28125,3.5555555555555554
2,128,2.0,7,late,0.9075906276366144,2.2159388551057635,4.910385009567442,64,337,0.3125,6.0,0.09375,10.666666666666666
2,256,0.4,0,early,0.4499384405022657,1.1321075234780213,1.2816674447155387,128,3669,0.1484375,15.0,0.1171875,8.533333333333333
2,256,0.4,0,late,0.8443708563136245,0.4790528466310562,0.22949162986531824,128,1651,0.1953125,11.0,0.0859375,11.636363636363637
2,256,0.4,1,early,0.3722462026464042,1.3567489171286629,1.8407676241297992,128,3451,0.1484375,15.0,0.1171875,8.533333333333333
2,256,0.4,1,late,0.8031940806851512,0.5086775378792288,0.2587528375428742,128,2135,0.1875,11.0,0.0859375,11.636363636363637
2,256,0.4,2,early,0.3887997622468534,1.261670226016545,1.59181175921664,128,3371,0.1484375,15.0,0.1171875,8.533333333333333
