d,N,p_frw,rep,H_eff_sq,R_eff,n_causal_pairs,w_max_ratio,n_layers,layer_ratio,mean_layer_width,layer_width_std,layer_width_cv,max_layer_width_ratio,layer_entropy,b1_mean,b1_std,b1_neg_frac,eig_min,eig_max,eig_gap,eig_spread
2,128,2.0,3,4.0,12.845718260532783,4224,0.15625,21.0,0.1640625,6.095238095238095,3.8409418723953874,0.6301545259398683,0.109375,2.821818195208051,-0.3125,4.149077457700687,0.484375,-6.190187795586324,9.494269713708725,0.6039148367774274,15.684457509295049
2,128,2.0,4,4.0,14.260625525554659,4348,0.1640625,19.0,0.1484375,6.7368421052631575,3.822951536281027,0.5674693686667149,0.125,2.776710780591591,-1.0625,4.286151391399982,0.609375,-6.174830916581551,10.32133503542524,0.9139619896123747,16.49616595200679
2,128,2.0,5,4.0,12.907137328765138,4273,0.140625,19.0,0.1484375,6.7368421052631575,3.3220492290651578,0.49311668243935936,0.1015625,2.812944942372079,-0.34375,3.4830785144036014,0.515625,-5.1571007832048235,8.827969773384998,0.20401128497131538,13.985070556589822
2,128,2.0,6,4.0,17.83305837751839,4663,0.1328125,25.0,0.1953125,5.12,3.374255473434103,0.6590342721550982,0.09375,2.9909713314493094,-0.546875,3.9624396190194493,0.5390625,-6.093068303629418,9.426298744470268,0.6669851141821468,15.519367048099685
2,128,2.0,7,4.0,23.97607452918819,4922,0.15625,24.0,0.1875,5.333333333333333,3.8586123009300755,0.7234898064243892,0.1015625,2.9142399997981583,-0.59375,4.20088811294707,0.515625,-5.487574762622671,8.96089228291743,0.28901239078206764,14.4484670455401
2,256,0.4,0,0.16000000000000003,-0.5041877399987077,16608,0.09765625,25.0,0.09765625,10.24,3.535873300897531,0.3453001270407745,0.0625,3.1486261588046744,-1.125,5.345851195085774,0.57421875,-6.913142756521626,10.813081676480714,0.5803022478972863,17.72622443300234
2,256,0.4,1,0.16000000000000003,-0.6825452311082656,17714,0.09375,26.0,0.1015625,9.846153846153847,3.3933453846327346,0.3446366406267621,0.06640625,3.1867182620855763,-0.8515625,4.97115090382436,0.515625,-7.208582390155606,10.89385762961505,0.5145223635100962,18.102440019770658
2,256,0.4,2,0.16000000000000003,-0.5912028327816955,16925,0.09765625,25.0,0.09765625,10.24,3.3380233672040105,0.32597884445351666,0.07421875,3.1625980045719224,-0.6328125,4.947175794313736,0.52734375,-6.89319606309829,10.515368799351728,0.20929276087292337,17.408564862450017
2,256,0.4,3,0.16000000000000003,-0.6320076566090248,17502,0.08984375,26.0,0.1015625,9.846153846153847,3.170686745465377,0.32202287258632734,0.0546875,3.1921370231601127,-0.9140625,4.896630448185134,0.55078125,-6.872080690583465,10.496358282780406,0.43595609366959565,17.368438973363872
2,256,0.4,4,0.16000000000000003,-0.6183451484645881,17299,0.09375,28.0,0.109375,9.142857142857142,3.0438965360946453,0.33292618363535187,0.05859375,3.2647015264830883,-0.484375,4.925990343004643,0.5546875,-7.889432396286507,11.685619008025911,1.6712480561815415,19.57505140431242
