d,N,hubble,rep,R_dS,H2,rho_est,n_causal_pairs,b1_mean,b1_std,b1_median,b1_min,b1_max,b1_neg_frac,eig_min,eig_max,eig_gap,eig_spread,R_est
2,512,0.25,6,0.125,0.0625,-1.26171875,56935,-1.26171875,5.843153326406765,-1.0,-19.0,19.0,0.59765625,-8.059644122268258,11.923226976991364,0.2618687319268034,19.982871099259622,2.5234375
2,512,0.25,7,0.125,0.0625,-1.0078125,61235,-1.0078125,5.199152716053237,-1.0,-17.0,17.0,0.5703125,-7.922996772117773,11.844038872522159,0.7470663193612772,19.767035644639932,2.015625
2,512,0.5,0,0.5,0.25,-1.1875,50756,-1.1875,5.5561761806119865,-1.0,-17.0,19.0,0.58203125,-7.958625690059926,11.51237075336454,0.17132517019483195,19.470996443424465,2.375
2,512,0.5,1,0.5,0.25,-0.359375,52355,-0.359375,5.415161549702373,-1.0,-17.0,21.0,0.505859375,-7.810417339486009,11.599600418937516,0.17061852977738923,19.410017758423525,0.71875
2,512,0.5,2,0.5,0.25,-0.94921875,54986,-0.94921875,5.847455323869387,-1.0,-17.0,19.0,0.572265625,-7.939597848649934,12.19768768043195,0.6545420239994506,20.137285529081883,1.8984375
2,512,0.5,3,0.5,0.25,-0.80859375,53483,-0.80859375,5.421535866104819,-1.0,-17.0,15.0,0.5546875,-8.230088212417145,11.968145793619644,0.4872555221688142,20.19823400603679,1.6171875
2,512,0.5,4,0.5,0.25,-0.8046875,53497,-0.8046875,5.351049245460534,-1.0,-17.0,15.0,0.572265625,-8.675997242273636,11.89643250597737,0.2293850185306514,20.572429748251004,1.609375
2,512,0.5,5,0.5,0.25,-0.515625,54280,-0.515625,5.672004130761454,-1.0,-17.0,19.0,0.509765625,-7.899630984657733,11.941749198406924,0.5956049672456256,19.841380183064658,1.03125
2,512,0.5,6,0.5,0.25,-1.7109375,52739,-1.7109375,5.5475956838159854,-1.0,-23.0,15.0,0.615234375,-8.460178217409023,12.224034901836529,0.5697668702358811,20.684213119245552,3.421875
2,512,0.5,7,0.5,0.25,-1.25390625,53439,-1.25390625,5.58649882450636,-1.0,-19.0,15.0,0.583984375,-8.324106679781451,11.97466199087009,0.16892662573136974,20.29876867065154,2.5078125
2,512,1.0,0,2.0,1.0,-0.41796875,42657,-0.41796875,5.180823016087641,-1.0,-17.0,17.0,0.52734375,-7.8271932569203795,11.225621134705822,0.13563113688203998,19.0528143916262,0.8359375
2,512,1.0,1,2.0,1.0,-1.12109375,41692,-1.12109375,5.34813273991128,-1.0,-19.0,15.0,0.57421875,-8.224854826657166,11.477294438569992,0.14147515421830015,19.702149265227156,2.2421875
2,512,1.0,2,2.0,1.0,-1.2890625,42964,-1.2890625,5.2806432251283315,-1.0,-17.0,15.0,0.599609375,-7.799392725695654,11.883864018053787,0.5292254797929203,19.68325674374944,2.578125
2,512,1.0,3,2.0,1.0,-0.5625,42900,-0.5625,4.94145411291049,-1.0,-17.0,13.0,0.537109375,-8.405313647089992,11.762501374484978,0.41282062844419265,20.16781502157497,1.125
2,512,1.0,4,2.0,1.0,-0.7890625,42676,-0.7890625,5.325575590590537,-1.0,-17.0,15.0,0.55859375,-7.89825802263782,11.609633823686544,0.4349137428241434,19.507891846324362,1.578125
2,512,1.0,5,2.0,1.0,-0.86328125,42817,-0.86328125,5.157372924600124,-1.0,-17.0,13.0,0.541015625,-7.6251529547370644,11.503108940823985,0.4388184389497116,19.12826189556105,1.7265625
2,512,1.0,6,2.0,1.0,-1.421875,40227,-1.421875,5.6230682446841245,-1.0,-21.0,15.0,0.607421875,-7.988250991340268,11.677861085675207,0.3138240863711026,19.666112077015477,2.84375
