rs,N,rep,r_min_factor,r_max_factor,mean_K,median_K,std_K,max_K,n_causal_pairs,C_0,C_1,C_2,C_3,C_4,bd_ratio,n_layers,layer_ratio,mean_layer_width,layer_width_std,layer_width_cv,max_layer_width_ratio,layer_entropy
0.1,128,1,1.5,10.0,576.1168259772121,2.8433144904468897,1693.0421915177947,8275.745944428782,7525,311,207,196,191,158,0.03826279527559055,39.0,0.3046875,3.282051282051282,1.197191541531154,0.3647692978102735,0.046875,3.6001859648575234
0.1,128,2,1.5,10.0,330.74986276302593,2.365997595259997,1008.0951035720375,6098.030379664469,7575,300,243,200,136,150,0.036909448818897635,48.0,0.375,2.6666666666666665,1.1426091000668408,0.4284784125250653,0.046875,3.7809678361940255
0.1,128,3,1.5,10.0,746.4505911284044,4.664497098935423,2075.367742700537,10534.43109127739,7514,342,248,170,152,137,0.04207677165354331,43.0,0.3359375,2.9767441860465116,1.0227271361533035,0.3435723973015004,0.046875,3.7008552523005847
0.1,128,4,1.5,10.0,392.6137931884793,4.97428202869883,1202.1231259752576,8741.200324918404,7537,330,250,196,171,133,0.0406003937007874,41.0,0.3203125,3.1219512195121952,1.063705487188123,0.3407181638649457,0.0390625,3.6546897065582216
0.1,128,5,1.5,10.0,488.9805549976608,3.792555839687095,1687.5094431788227,8601.977835211359,7572,314,212,188,158,156,0.03863188976377953,48.0,0.375,2.6666666666666665,1.2963624321753373,0.4861359120657515,0.0546875,3.757246279687311
0.1,128,6,1.5,10.0,540.0109383326989,5.335910127028704,1603.336572903328,9057.762909181263,7514,321,219,179,171,142,0.03949311023622047,44.0,0.34375,2.909090909090909,1.2759698952380183,0.4386146514880688,0.046875,3.686148686377712
0.1,128,7,1.5,10.0,420.4452851642394,2.9442191162354443,1473.9298658128444,9187.969254756661,7551,309,211,203,173,153,0.03801673228346457,43.0,0.3359375,2.9767441860465116,1.3379674291760488,0.44947343323882893,0.046875,3.6610806369118585
0.1,128,8,1.5,10.0,411.5766897456731,4.1413336607592806,1286.2233142028892,7141.57888271488,7575,305,218,190,179,171,0.0375246062992126,44.0,0.34375,2.909090909090909,1.275969895238018,0.4386146514880687,0.046875,3.6882625661007498
0.1,128,9,1.5,10.0,453.25607825815,4.7377451411355285,1391.4374939964644,8805.727995136604,7526,299,227,183,129,170,0.03678641732283464,47.0,0.3671875,2.723404255319149,1.3945506049509735,0.5120615502554355,0.046875,3.7187798437893744
0.1,256,0,1.5,10.0,243.86495379582217,3.706270461675925,762.7842062254512,5660.958413198627,30343,719,556,467,436,382,0.022028186274509805,64.0,0.25,4.0,1.1989578808281798,0.29973947020704494,0.02734375,4.113368254507765
0.1,256,1,1.5,10.0,369.0505214939481,5.157536633438318,1235.4855309596114,8955.810847831119,30422,767,554,481,389,397,0.02349877450980392,64.0,0.25,4.0,1.4577379737113252,0.3644344934278313,0.02734375,4.09058097056168
0.1,256,2,1.5,10.0,468.2169587609816,2.2308113434304997,1697.763276481146,10530.91680828659,30344,766,552,444,429,360,0.02346813725490196,61.0,0.23828125,4.19672131147541,1.4801381429896017,0.352689166884241,0.02734375,4.046298859881032
0.1,256,3,1.5,10.0,401.06834494219333,4.409734806084043,1198.2470915841843,7815.868215817327,30231,788,563,477,424,386,0.0241421568627451,60.0,0.234375,4.266666666666667,1.4007934259633794,0.32831095921016706,0.02734375,4.038656023821976
