N,lambda,action_field,beta_entropy,entropy_sign,action_sign,focus_lor,mean_score_focus,mean_score_kr,win_rate_focus_vs_kr,lambda_cross_mean_focus_vs_kr,mean_f5_focus,mean_f5_kr,win_rate_f5_focus_vs_kr,agreement_rate_score_vs_f5
20,4.0,bdg_d2_link_norm,1.0,-1.0,-1.0,Lor2D,-10.129102955691081,-11.70089945434894,0.375,5.53345999869059,42.78131114512608,58.96394888290842,1.0,0.375
20,6.0,bdg_d2_link_norm,1.0,-1.0,-1.0,Lor2D,-4.454102955691081,-3.9758994543489403,0.5,5.53345999869059,42.78131114512608,58.96394888290842,1.0,0.5
20,8.0,bdg_d2_link_norm,1.0,-1.0,-1.0,Lor2D,1.220897044308919,3.7491005456510598,0.625,5.53345999869059,42.78131114512608,58.96394888290842,1.0,0.625
20,10.0,bdg_d2_link_norm,1.0,-1.0,-1.0,Lor2D,6.89589704430892,11.47410054565106,0.625,5.53345999869059,42.78131114512608,58.96394888290842,1.0,0.625
20,12.0,bdg_d2_link_norm,1.0,-1.0,-1.0,Lor2D,12.570897044308918,19.199100545651056,0.625,5.53345999869059,42.78131114512608,58.96394888290842,1.0,0.625
20,14.0,bdg_d2_link_norm,1.0,-1.0,-1.0,Lor2D,18.24589704430892,26.924100545651058,0.625,5.53345999869059,42.78131114512608,58.96394888290842,1.0,0.625
20,16.0,bdg_d2_link_norm,1.0,-1.0,-1.0,Lor2D,23.92089704430892,34.64910054565106,0.625,5.53345999869059,42.78131114512608,58.96394888290842,1.0,0.625
20,18.0,bdg_d2_link_norm,1.0,-1.0,-1.0,Lor2D,29.59589704430892,42.37410054565105,0.625,5.53345999869059,42.78131114512608,58.96394888290842,1.0,0.625
20,20.0,bdg_d2_link_norm,1.0,-1.0,-1.0,Lor2D,35.27089704430892,50.099100545651055,0.625,5.53345999869059,42.78131114512608,58.96394888290842,1.0,0.625
28,0.0,bdg_d2_link_norm,1.0,-1.0,-1.0,Lor2D,-34.86515755214059,-44.67153639867887,0.0,3.698028386573358,69.58265006732223,95.29726375527828,1.0,0.0
28,2.0,bdg_d2_link_norm,1.0,-1.0,-1.0,Lor2D,-28.56158612356915,-33.06439354153601,0.0,3.698028386573358,69.58265006732223,95.29726375527828,1.0,0.0
28,4.0,bdg_d2_link_norm,1.0,-1.0,-1.0,Lor2D,-22.258014694997726,-21.45725068439316,0.625,3.698028386573358,69.58265006732223,95.29726375527828,1.0,0.625
28,6.0,bdg_d2_link_norm,1.0,-1.0,-1.0,Lor2D,-15.954443266426296,-9.8501078272503,1.0,3.698028386573358,69.58265006732223,95.29726375527828,1.0,1.0
