scale_label,scale_factor,n,gamma,family,mean_score,std_score,mean_penalty,mean_log_H,count
1.690,1.69,48,0.4,lorentzian_like_2d,-70.03940809226285,4.112924948764463,1.9178253142150699,70.80653821794888,2
1.690,1.69,48,0.6,KR_like,-87.99471981404784,0.30434542351189003,15.020723810795348,97.00715410052504,2
1.690,1.69,48,0.6,lorentzian_like_2d,-69.65584302941983,4.237006222984565,1.9178253142150699,70.80653821794888,2
1.690,1.69,48,0.8,KR_like,-84.99057505188877,0.369327417077394,15.020723810795348,97.00715410052504,2
1.690,1.69,48,0.8,lorentzian_like_2d,-69.27227796657682,4.3610874972046725,1.9178253142150699,70.80653821794888,2
1.690,1.69,48,1.0,KR_like,-81.9864302897297,0.4343094106428779,15.020723810795348,97.00715410052504,2
1.690,1.69,48,1.0,lorentzian_like_2d,-68.8887129037338,4.485168771424775,1.9178253142150699,70.80653821794888,2
1.690,1.69,48,1.5,KR_like,-74.47606838433202,0.5967643945566177,15.020723810795348,97.00715410052504,2
1.690,1.69,48,1.5,lorentzian_like_2d,-67.92980024662627,4.795371956975031,1.9178253142150699,70.80653821794888,2
1.690,1.69,48,2.0,lorentzian_like_2d,-66.97088758951874,5.105575142525287,1.9178253142150699,70.80653821794888,2
1.690,1.69,48,2.0,KR_like,-66.96570647893435,0.7592193784703575,15.020723810795348,97.00715410052504,2
1.700,1.7,48,0.0,KR_like,-97.00715410052504,0.10939944281541335,15.057802195834405,97.00715410052504,2
1.700,1.7,48,0.0,lorentzian_like_2d,-70.80653821794888,3.8647624003242482,1.9259545371949294,70.80653821794888,2
1.700,1.7,48,0.1,KR_like,-95.50137388094161,0.1420819260003619,15.057802195834405,97.00715410052504,2
1.700,1.7,48,0.1,lorentzian_like_2d,-70.61394276422939,3.9267802181456894,1.9259545371949294,70.80653821794888,2
1.700,1.7,48,0.2,KR_like,-93.99559366135817,0.17476440918530542,15.057802195834405,97.00715410052504,2
1.700,1.7,48,0.2,lorentzian_like_2d,-70.42134731050989,3.9887980359671253,1.9259545371949294,70.80653821794888,2
1.700,1.7,48,0.4,KR_like,-90.98403322219129,0.24012937555521258,15.057802195834405,97.00715410052504,2
1.700,1.7,48,0.4,lorentzian_like_2d,-70.0361564030709,4.112833671610007,1.9259545371949294,70.80653821794888,2
1.700,1.7,48,0.6,KR_like,-87.97247278302441,0.30549434192510466,15.057802195834405,97.00715410052504,2
1.700,1.7,48,0.6,lorentzian_like_2d,-69.65096549563191,4.236869307252884,1.9259545371949294,70.80653821794888,2
1.700,1.7,48,0.8,KR_like,-84.96091234385753,0.3708593082950118,15.057802195834405,97.00715410052504,2
1.700,1.7,48,0.8,lorentzian_like_2d,-69.26577458819293,4.360904942895747,1.9259545371949294,70.80653821794888,2
