config,n,gamma,lor4d_rank,lor4d_raw_score,top1_family,top1_score,gap_to_top1,interval_weight,total_families
uniform_2.0x,40,2.0,1,-72.51677037118232,lorentzian_like_4d,-72.51677037118232,0.0,10.0,17
uniform_3.0x,10,0.0,3,-12.491329803498651,lorentzian_like_5d,-13.3554285077196,0.8640987042209485,15.0,17
uniform_3.0x,10,0.2,10,-8.112163548380577,lorentzian_like_3d,-9.084099053203396,0.9719355048228184,15.0,17
uniform_3.0x,10,0.5,15,-1.5434141657034668,multi_layer_random,-7.023045467207275,5.479631301503808,15.0,17
uniform_3.0x,10,1.0,15,9.404501472091718,KR_like,-5.141148420815245,14.545649892906964,15.0,17
uniform_3.0x,10,2.0,15,31.300332747682084,KR_like,-1.4252183044547346,32.72555105213682,15.0,17
uniform_3.0x,20,0.0,3,-33.63098539664324,lorentzian_like_5d,-34.897603148453754,1.2666177518105144,15.0,17
uniform_3.0x,20,0.2,1,-31.032862699472833,lorentzian_like_4d,-31.032862699472833,0.0,15.0,17
uniform_3.0x,20,0.5,1,-27.135678653717214,lorentzian_like_4d,-27.135678653717214,0.0,15.0,17
uniform_3.0x,20,1.0,8,-20.64037191079118,lorentzian_like_3d,-23.94682961268132,3.306457701890139,15.0,17
uniform_3.0x,20,2.0,15,-7.649758424939125,KR_like,-19.600689947330146,11.95093152239102,15.0,17
uniform_3.0x,40,0.0,3,-86.19585470613654,lorentzian_like_5d,-92.00747795446848,5.811623248331941,15.0,17
uniform_3.0x,40,0.2,3,-84.14399205589342,lorentzian_like_5d,-88.62696352337068,4.482971467477256,15.0,17
uniform_3.0x,40,0.5,2,-81.06619808052872,lorentzian_like_5d,-83.556191876724,2.4899937961952787,15.0,17
uniform_3.0x,40,1.0,1,-75.93654145492087,lorentzian_like_4d,-75.93654145492087,0.0,15.0,17
uniform_3.0x,40,2.0,2,-65.6772282037052,KR_like,-65.9573290677526,0.2801008640473981,15.0,17
no_interval_boost_1.0x,10,0.0,3,-12.491329803498651,lorentzian_like_5d,-13.3554285077196,0.8640987042209485,0.0,17
no_interval_boost_1.0x,10,0.2,3,-11.781362602720417,lorentzian_like_5d,-12.01510900119033,0.23374639846991307,0.0,17
no_interval_boost_1.0x,10,0.5,2,-10.71641180155307,KR_2layer,-11.073285913360772,0.3568741118077021,0.0,17
no_interval_boost_1.0x,10,1.0,3,-8.941493799607489,KR_2layer,-10.120583399150995,1.1790895995435058,0.0,17
no_interval_boost_1.0x,10,2.0,12,-5.391657795716326,KR_2layer,-8.215178370731442,2.8235205750151158,0.0,17
no_interval_boost_1.0x,20,0.0,3,-33.63098539664324,lorentzian_like_5d,-34.897603148453754,1.2666177518105144,0.0,17
no_interval_boost_1.0x,20,0.2,3,-33.296502761828854,lorentzian_like_5d,-34.38241795840863,1.0859151965797764,0.0,17
no_interval_boost_1.0x,20,0.5,3,-32.79477880960728,lorentzian_like_5d,-33.609640173340956,0.8148613637336766,0.0,17
no_interval_boost_1.0x,20,1.0,3,-31.95857222257132,KR_2layer,-32.76859329146937,0.8100210688980525,0.0,17
no_interval_boost_1.0x,20,2.0,2,-30.286159048499393,KR_2layer,-31.56635444145889,1.2801953929594987,0.0,17
no_interval_boost_1.0x,40,0.0,3,-86.19585470613654,lorentzian_like_5d,-92.00747795446848,5.811623248331941,0.0,17
no_interval_boost_1.0x,40,0.2,3,-85.83747867263239,lorentzian_like_5d,-91.40694600303333,5.56946733040094,0.0,17
no_interval_boost_1.0x,40,0.5,3,-85.29991462237612,lorentzian_like_5d,-90.50614807588059,5.206233453504467,0.0,17
no_interval_boost_1.0x,40,1.0,3,-84.4039745386157,KR_2layer,-89.08904959563323,4.685075057017528,0.0,17
no_interval_boost_1.0x,40,2.0,3,-82.61209437109483,KR_2layer,-87.94625856599407,5.334164194899245,0.0,17
no_interval_boost_1.5x,10,0.0,3,-12.491329803498651,lorentzian_like_5d,-13.3554285077196,0.8640987042209485,0.0,17
no_interval_boost_1.5x,10,0.2,2,-11.426379002331302,KR_2layer,-11.454366919044682,0.0279879167133803,0.0,17
no_interval_boost_1.5x,10,0.5,2,-9.828952800580279,KR_2layer,-10.596934656255884,0.7679818556756057,0.0,17
no_interval_boost_1.5x,10,1.0,7,-7.166575797661908,KR_2layer,-9.167880884941217,2.0013050872793094,0.0,17
no_interval_boost_1.5x,10,2.0,15,-1.8418217918251638,KR_like,-7.358041538394798,5.516219746569634,0.0,17
no_interval_boost_1.5x,20,0.0,3,-33.63098539664324,lorentzian_like_5d,-34.897603148453754,1.2666177518105144,0.0,17
no_interval_boost_1.5x,20,0.2,3,-33.12926144442166,lorentzian_like_5d,-34.12482536338608,0.9955639189644216,0.0,17
no_interval_boost_1.5x,20,0.5,3,-32.3766755160893,KR_2layer,-33.069153003972005,0.6924774878827051,0.0,17
no_interval_boost_1.5x,20,1.0,2,-31.122365635535356,KR_2layer,-32.167473866464135,1.0451082309287791,0.0,17
no_interval_boost_1.5x,20,2.0,2,-28.61374587442747,KR_2layer,-30.364115591448403,1.7503697170209342,0.0,17
no_interval_boost_1.5x,40,0.0,3,-86.19585470613654,lorentzian_like_5d,-92.00747795446848,5.811623248331941,0.0,17
no_interval_boost_1.5x,40,0.2,3,-85.6582906558803,lorentzian_like_5d,-91.10668002731575,5.448389371435454,0.0,17
no_interval_boost_1.5x,40,0.5,3,-84.85194458049591,lorentzian_like_5d,-89.75548313658665,4.903538556090737,0.0,17
no_interval_boost_1.5x,40,1.0,3,-83.50803445485526,KR_2layer,-88.51765408081366,5.009619625958393,0.0,17
no_interval_boost_1.5x,40,2.0,3,-80.82021420357397,KR_2layer,-86.8034675363549,5.983253332780933,0.0,17
no_interval_boost_2.0x,10,0.0,3,-12.491329803498651,lorentzian_like_5d,-13.3554285077196,0.8640987042209485,0.0,17
